datetime,open,high,low,close,volume
2017-08-17 00:00:00,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700
2017-08-18 00:00:00,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400
2017-08-19 00:00:00,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300
2017-08-20 00:00:00,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200
2017-08-21 00:00:00,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000
2017-08-22 00:00:00,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800
2017-08-23 00:00:00,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500
2017-08-24 00:00:00,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300
2017-08-25 00:00:00,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000
2017-08-26 00:00:00,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800
2017-08-27 00:00:00,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500
2017-08-28 00:00:00,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600
2017-08-29 00:00:00,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800
2017-08-30 00:00:00,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100
2017-08-31 00:00:00,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200
2017-09-01 00:00:00,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600
2017-09-02 00:00:00,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500
2017-09-03 00:00:00,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800
2017-09-04 00:00:00,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400
2017-09-05 00:00:00,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700
